Node type,System,Optimization,test,Threads,Rate (MB/s),Avg time,Min time,Max time
Standard,Reference,As-is code,Scale,13,91691.3,95494.6,75147.7,94592.8
Standard,Reference,As-is code,Scale,14,91267.3,92813.6,75057.9,94003.2
Standard,Reference,As-is code,Scale,15,91478.8,93401.3,74689.5,92890.7
Standard,Reference,As-is code,Scale,16,92436.5,90553.0,74358.3,91373.0
Standard,Reference,As-is code,Scale,17,90761.2,88563.3,74097.7,88028.9
Standard,Reference,As-is code,Scale,18,91379.2,86765.6,73770.8,90394.5
Standard,Reference,As-is code,Scale,19,93505.5,91955.1,80479.4,91273.5
Standard,Reference,As-is code,Scale,20,99494.2,99998.3,87713.6,96943.1
Standard,Reference,As-is code,Scale,21,105467.3,105542.0,95554.1,107057.3
Standard,Reference,As-is code,Scale,22,110177.1,111347.0,104137.3,106555.8
Standard,Reference,As-is code,Scale,23,115685.0,112750.1,113175.7,114608.3
Standard,Reference,As-is code,Scale,24,122060.5,118430.9,119722.1,117251.4
Standard,Reference,As-is code,Scale,25,125296.6,119677.0,124456.9,124506.2
Standard,Reference,As-is code,Scale,26,133337.7,129917.5,129588.2,129341.6
Standard,Reference,As-is code,Scale,27,137828.8,136580.6,134293.4,133218.6
Standard,Reference,As-is code,Scale,28,140219.1,138540.2,139441.7,139795.6
Standard,Reference,As-is code,Scale,29,150637.2,147330.1,144070.9,141400.9
Standard,Reference,As-is code,Scale,30,152208.8,147055.7,149058.0,148767.2
Standard,Reference,As-is code,Scale,31,156576.9,157255.7,153826.4,156248.8
Standard,Reference,As-is code,Scale,32,160470.7,159840.1,158831.4,155940.2
Standard,Reference,As-is code,Scale,33,170025.0,167437.3,163568.0,161864.1
Standard,Reference,As-is code,Scale,34,170025.0,173340.7,168332.9,169573.9
Standard,Reference,As-is code,Scale,35,170413.6,167207.8,173297.3,178957.0
Standard,Reference,As-is code,Scale,36,176416.6,178885.4,178141.0,171568.1
Standard,Reference,As-is code,Triad,1,14543.6,14372.1,13899.3,14335.2
Standard,Reference,As-is code,Triad,2,28711.7,28476.6,26972.0,28308.4
Standard,Reference,As-is code,Triad,3,41565.5,41837.6,39302.4,42183.0
Standard,Reference,As-is code,Triad,4,55376.4,55046.4,50360.0,55096.1
Standard,Reference,As-is code,Triad,5,67795.9,67077.6,59330.5,67095.4
Standard,Reference,As-is code,Triad,6,79231.2,78548.1,66202.6,78024.5
Standard,Reference,As-is code,Triad,7,85163.5,84762.0,70243.5,84208.9
Standard,Reference,As-is code,Triad,8,88791.8,88772.3,72469.2,88952.7
Standard,Reference,As-is code,Triad,9,92811.4,91048.6,73930.3,92165.6
Standard,Reference,As-is code,Triad,10,94974.3,93714.4,74905.3,94470.7
Standard,Reference,As-is code,Triad,11,95496.9,95469.7,75630.1,95370.2
Standard,Reference,As-is code,Triad,12,97212.3,96268.6,75918.0,96675.4
Standard,Reference,As-is code,Triad,13,96531.7,96480.9,76030.8,95906.3
Standard,Reference,As-is code,Triad,14,97287.4,95751.3,75918.8,96153.7
Standard,Reference,As-is code,Triad,15,97523.1,96213.4,75647.1,96250.2
Standard,Reference,As-is code,Triad,16,96773.0,95275.5,75512.6,95714.8
Standard,Reference,As-is code,Triad,17,97043.6,95388.3,75398.7,94692.9
Standard,Reference,As-is code,Triad,18,97523.1,93858.6,75217.8,95050.6
Standard,Reference,As-is code,Triad,19,99666.6,99790.1,82445.3,99092.7
Standard,Reference,As-is code,Triad,20,108943.0,105307.4,90210.7,107117.1
Standard,Reference,As-is code,Triad,21,115162.2,111162.6,98744.2,110826.0
Standard,Reference,As-is code,Triad,22,119823.0,116226.0,108025.3,116643.4
Standard,Reference,As-is code,Triad,23,124614.1,120996.8,117988.6,121581.4
Standard,Reference,As-is code,Triad,24,132591.3,127052.0,124973.0,126979.9
Standard,Reference,As-is code,Triad,25,138406.8,132739.9,130096.5,132269.0
Standard,Reference,As-is code,Triad,26,145006.2,139124.2,135306.6,137857.2
Standard,Reference,As-is code,Triad,27,148712.2,143579.1,140349.8,141301.7
Standard,Reference,As-is code,Triad,28,154747.6,148569.5,145611.3,148197.7
Standard,Reference,As-is code,Triad,29,163600.4,154783.3,150528.5,150322.3
Standard,Reference,As-is code,Triad,30,165292.8,159681.6,155646.5,158263.2
Standard,Reference,As-is code,Triad,31,174550.5,167534.8,160835.7,164549.7
Standard,Reference,As-is code,Triad,32,180464.9,171065.2,165740.1,170890.9
Standard,Reference,As-is code,Triad,33,184196.3,175127.5,170703.1,175371.6
Standard,Reference,As-is code,Triad,34,189287.9,182924.4,175883.2,181604.4
Standard,Reference,As-is code,Triad,35,194518.4,187141.3,180748.9,188103.0
Standard,Reference,As-is code,Triad,36,198703.7,191611.9,185627.1,190541.9
