Node type,System,Optimization,test,Threads,Rate (MB/s),Avg time,Min time,Max time
Standard,Reference,As-is code,Copy,1,11476.9,11335.9,11463.7,11341.4
Standard,Reference,As-is code,Copy,2,22782.0,22669.2,22525.4,22437.3
Standard,Reference,As-is code,Copy,3,34284.7,32349.4,32939.9,32404.9
Standard,Reference,As-is code,Copy,4,44469.5,43956.8,42496.3,43561.6
Standard,Reference,As-is code,Copy,5,54872.3,54072.1,50852.9,54606.7
Standard,Reference,As-is code,Copy,6,65600.1,61931.4,58267.8,61514.2
Standard,Reference,As-is code,Copy,7,74557.1,70905.9,64741.7,71142.7
Standard,Reference,As-is code,Copy,8,81720.5,81403.3,69549.3,81611.2
Standard,Reference,As-is code,Copy,9,86114.3,84520.0,72334.8,85288.0
Standard,Reference,As-is code,Copy,10,88394.2,90779.7,73664.2,90958.1
Standard,Reference,As-is code,Copy,11,89898.0,89783.8,74661.1,90601.9
Standard,Reference,As-is code,Copy,12,91279.7,91168.1,75086.7,91848.2
Standard,Reference,As-is code,Copy,13,91491.3,91223.9,75095.0,90650.9
Standard,Reference,As-is code,Copy,14,91955.1,90749.0,74936.2,90242.5
Standard,Reference,As-is code,Copy,15,90958.1,92564.0,74532.8,91691.3
Standard,Reference,As-is code,Copy,16,91854.5,91854.5,74242.4,90884.2
Standard,Reference,As-is code,Copy,17,91230.1,91453.9,73994.0,91955.1
Standard,Reference,As-is code,Copy,18,90761.2,89633.9,73650.7,90370.1
Standard,Reference,As-is code,Copy,19,92807.2,95264.2,80349.6,91898.5
Standard,Reference,As-is code,Copy,20,101726.3,101942.7,87578.5,101327.0
Standard,Reference,As-is code,Copy,21,104368.4,105641.7,95478.3,106598.1
Standard,Reference,As-is code,Copy,22,111254.7,111885.4,104058.0,111727.1
Standard,Reference,As-is code,Copy,23,116955.1,115317.2,113147.4,117827.9
Standard,Reference,As-is code,Copy,24,123931.4,123124.2,119574.9,122416.8
Standard,Reference,As-is code,Copy,25,128192.7,127329.2,124490.0,127184.4
Standard,Reference,As-is code,Copy,26,133896.4,134123.8,129608.4,132626.2
Standard,Reference,As-is code,Copy,27,137913.8,139201.1,134397.8,136873.1
Standard,Reference,As-is code,Copy,28,143609.8,139751.9,139338.2,141207.5
Standard,Reference,As-is code,Copy,29,150400.9,149313.3,144044.1,150384.0
Standard,Reference,As-is code,Copy,30,153848.8,154504.1,149267.2,157495.6
Standard,Reference,As-is code,Copy,31,155958.3,162589.6,154034.2,158649.8
Standard,Reference,As-is code,Copy,32,164281.2,167458.2,158802.3,162609.3
Standard,Reference,As-is code,Copy,33,168277.0,165048.9,163526.7,168403.7
Standard,Reference,As-is code,Copy,34,173722.1,163024.1,168683.9,171655.9
Standard,Reference,As-is code,Copy,35,175631.7,174671.7,173614.4,175631.7
Standard,Reference,As-is code,Copy,36,178957.0,180984.0,178000.7,181522.5
Standard,Reference,As-is code,Add,1,14373.9,14318.5,13867.8,14279.0
Standard,Reference,As-is code,Add,2,28639.8,28365.4,26939.6,28189.1
Standard,Reference,As-is code,Add,3,42127.3,41728.3,39256.6,41877.6
Standard,Reference,As-is code,Add,4,55082.5,54532.0,50362.2,54309.8
Standard,Reference,As-is code,Add,5,67378.4,66832.6,59338.9,67066.4
Standard,Reference,As-is code,Add,6,78741.6,78000.3,66241.9,78124.4
Standard,Reference,As-is code,Add,7,85105.9,83725.6,70335.3,85001.7
Standard,Reference,As-is code,Add,8,89518.3,87946.3,72602.0,88270.2
Standard,Reference,As-is code,Add,9,93206.8,91620.4,74093.4,91379.2
Standard,Reference,As-is code,Add,10,95082.0,93640.3,75048.3,93111.9
Standard,Reference,As-is code,Add,11,96578.0,94435.3,75677.9,94898.2
Standard,Reference,As-is code,Add,12,97081.0,94546.2,75962.7,95198.9
Standard,Reference,As-is code,Add,13,97883.4,93094.7,76041.2,92790.1
Standard,Reference,As-is code,Add,14,97485.3,92593.8,75925.9,93293.1
Standard,Reference,As-is code,Add,15,96541.0,93038.8,75614.2,93202.4
Standard,Reference,As-is code,Add,16,97560.9,92880.0,75482.9,93038.8
Standard,Reference,As-is code,Add,17,96430.0,92717.4,75339.1,92935.7
Standard,Reference,As-is code,Add,18,96782.3,92364.4,75162.2,91151.6
Standard,Reference,As-is code,Add,19,98486.7,97461.7,82345.0,95824.2
Standard,Reference,As-is code,Add,20,109535.7,101179.3,90051.9,103430.0
Standard,Reference,As-is code,Add,21,111525.9,107546.3,98547.6,107431.5
Standard,Reference,As-is code,Add,22,116968.7,113500.2,107894.1,113557.8
Standard,Reference,As-is code,Add,23,123786.6,117473.8,117741.2,118727.7
Standard,Reference,As-is code,Add,24,131861.8,121610.7,124728.4,121456.7
Standard,Reference,As-is code,Add,25,136049.9,127526.8,129801.0,128135.6
Standard,Reference,As-is code,Add,26,142764.6,133479.1,135058.3,134119.4
Standard,Reference,As-is code,Add,27,147969.0,138416.4,140132.1,135091.3
Standard,Reference,As-is code,Add,28,154652.5,139703.4,145362.2,142602.8
Standard,Reference,As-is code,Add,29,162806.6,149020.4,150287.8,148877.2
Standard,Reference,As-is code,Add,30,166688.7,153649.2,155345.7,152439.3
Standard,Reference,As-is code,Add,31,172162.3,159517.1,160441.2,155584.7
Standard,Reference,As-is code,Add,32,177787.5,163202.5,165447.8,163547.2
Standard,Reference,As-is code,Add,33,183625.1,168954.8,170617.7,167716.3
Standard,Reference,As-is code,Add,34,185897.1,173348.2,175586.4,171050.6
Standard,Reference,As-is code,Add,35,189430.4,177442.8,180315.0,177505.4
Standard,Reference,As-is code,Add,36,197689.1,178702.8,185584.7,180578.2
Standard,Reference,As-is code,Scale,1,11454.8,11032.6,11501.8,11025.4
Standard,Reference,As-is code,Scale,2,23031.4,22032.5,22625.4,21971.9
Standard,Reference,As-is code,Scale,3,34195.6,32732.8,33137.7,32992.7
Standard,Reference,As-is code,Scale,4,46028.0,43692.1,42768.5,44107.0
Standard,Reference,As-is code,Scale,5,57323.7,54098.2,51140.0,54238.2
Standard,Reference,As-is code,Scale,6,67711.5,64555.7,58566.2,64580.5
Standard,Reference,As-is code,Scale,7,76704.6,74280.7,65074.1,74731.5
Standard,Reference,As-is code,Scale,8,81840.1,80990.7,69713.9,81403.3
Standard,Reference,As-is code,Scale,9,86670.4,85516.2,72242.5,86114.3
Standard,Reference,As-is code,Scale,10,88499.1,88815.3,73649.3,88569.2
Standard,Reference,As-is code,Scale,11,90908.8,90473.7,74616.6,90601.9
Standard,Reference,As-is code,Scale,12,91591.2,91063.0,75174.7,90804.2
