Step Temp TotEng
0 299.89378 -89825891
200 299.54897 -89825808
400 299.76802 -89825714
600 299.85802 -89826074
800 300.06363 -89825995
1000 300.05084 -89825981
1200 300.18922 -89825851
1400 300.13678 -89826137
1600 300.0957 -89825914
1800 300.10359 -89826039
2000 300.1435 -89826015
2200 300.08842 -89826106
2400 299.93507 -89826127
2600 300.04638 -89826081
2800 300.19433 -89826169
3000 300.11708 -89826097
3200 300.05238 -89826195
3400 300.02459 -89826133
3600 300.02675 -89826133
3800 299.98238 -89826225
4000 300.07489 -89826164
4200 300.01988 -89826193
4400 300.08581 -89826252
4600 300.08554 -89826310
4800 300.10315 -89826257
5000 300.23876 -89826282
5200 300.06939 -89826287
5400 300.21277 -89826298
5600 300.16674 -89826315
5800 300.13205 -89826360
6000 299.97789 -89826294
6200 300.25666 -89826454
6400 300.08034 -89826359
6600 300.25391 -89826447
6800 300.26793 -89826428
7000 300.23028 -89826469
7200 300.17628 -89826460
7400 300.27101 -89826493
7600 300.20776 -89826500
7800 300.08977 -89826506
8000 300.33393 -89826592
8200 300.14282 -89826565
8400 300.27418 -89826565
8600 300.21558 -89826554
8800 300.22213 -89826610
9000 300.22063 -89826641
9200 300.346 -89826652
9400 300.28838 -89826665
9600 300.26822 -89826687
9800 300.30292 -89826754
10000 300.3594 -89826717
10200 300.41527 -89826700
10400 300.43406 -89826677
10600 300.35254 -89826708
10800 300.49048 -89826824
11000 300.40436 -89826775
11200 300.46429 -89826859
11400 300.47774 -89826790
11600 300.37639 -89826811
11800 300.39179 -89826855
12000 300.35291 -89826853
12200 300.44144 -89826928
12400 300.15176 -89826881
12600 300.22362 -89826927
12800 300.39618 -89826946
13000 300.40257 -89826932
13200 300.33421 -89826920
13400 300.27266 -89826990
13600 300.47617 -89826984
13800 300.49809 -89827018
14000 300.34263 -89826954
14200 300.48533 -89827013
14400 300.55237 -89827061
14600 300.42211 -89827081
14800 300.43222 -89827083
15000 300.48605 -89827153
15200 300.51108 -89827165
15400 300.52135 -89827109
15600 300.51255 -89827187
15800 300.61727 -89827215
16000 300.60882 -89827223
16200 300.5171 -89827196
16400 300.45164 -89827248
16600 300.57308 -89827240
16800 300.51749 -89827309
17000 300.4389 -89827276
17200 300.64488 -89827341
17400 300.45541 -89827259
17600 300.73695 -89827434
17800 300.53905 -89827306
18000 300.64091 -89827312
18200 300.64076 -89827365
18400 300.67066 -89827384
18600 300.64551 -89827300
18800 300.60976 -89827404
19000 300.54646 -89827424
19200 300.66365 -89827417
19400 300.81361 -89827477
19600 300.70756 -89827480
19800 300.76802 -89827542
20000 300.66286 -89827501
